Pid,Uid,Catname,Region,Time,neighbors,forward_neighbors
0_44_0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[0],[44],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
0_45_1,"[26, 26, 27, 31, 39, 39, 39, 39, 39, 43, 43, 50, 50, 50, 50, 50, 50, 50, 50, 50]",[0],[45],"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[26, 26, 27, 31, 39, 39, 39, 39, 39, 43, 43, 50, 50, 50, 50, 50, 50, 50, 50, 50]","[26, 26, 27, 31, 39, 39, 39, 39, 39, 43, 43, 50, 50, 50, 50, 50, 50, 50, 50, 50]"
1_18_2,"[0, 7, 13, 13, 13, 19, 19, 19, 22, 22, 23, 23, 25, 32, 32, 33, 37, 39, 47, 47]",[1],[18],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 7, 13, 13, 13, 19, 19, 19, 22, 22, 23, 23, 25, 32, 32, 33, 37, 39, 47, 47]","[0, 7, 13, 13, 13, 19, 19, 19, 22, 22, 23, 23, 25, 32, 32, 33, 37, 39, 47, 47]"
2_44_3,"[4, 16, 39, 39, 39, 51, 51, 51, 51, 51, 55, 55, 55, 55, 69, 69, 75, 96, 96, 96]",[2],[44],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[4, 16, 39, 39, 39, 51, 51, 51, 51, 51, 55, 55, 55, 55, 69, 69, 75, 96, 96, 96]","[4, 16, 39, 39, 39, 51, 51, 51, 51, 51, 55, 55, 55, 55, 69, 69, 75, 96, 96, 96]"
1_57_4,"[0, 2, 4, 17, 19, 22, 22, 22, 22, 23, 33, 33, 37, 37, 43, 44, 47, 50, 50, 56]",[1],[57],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 2, 4, 17, 19, 22, 22, 22, 22, 23, 33, 33, 37, 37, 43, 44, 47, 50, 50, 56]","[0, 2, 4, 17, 19, 22, 22, 22, 22, 23, 33, 33, 37, 37, 43, 44, 47, 50, 50, 56]"
0_34_5,"[23, 33, 33, 43, 43, 43, 69, 102, 102, 102, 102, 104, 104, 105, 161, 161, 161, 161, 161, 161]",[0],[34],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[23, 33, 33, 43, 43, 43, 69, 102, 102, 102, 102, 104, 104, 105, 161, 161, 161, 161, 161, 161]","[23, 33, 33, 43, 43, 43, 69, 102, 102, 102, 102, 104, 104, 105, 161, 161, 161, 161, 161, 161]"
3_44_6,"[4, 27, 36, 45, 48, 51, 62, 62, 69, 76, 76, 81, 84, 97, 100, 115, 115, 115, 115, 115]",[3],[44],"[0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[4, 27, 36, 45, 48, 51, 62, 62, 69, 76, 76, 81, 84, 97, 100, 115, 115, 115, 115, 115]","[4, 27, 36, 45, 48, 51, 62, 62, 69, 76, 76, 81, 84, 97, 100, 115, 115, 115, 115, 115]"
4_44_7,"[16, 26, 26, 33, 94, 102, 104, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109]",[4],[44],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[16, 26, 26, 33, 94, 102, 104, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109]","[16, 26, 26, 33, 94, 102, 104, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109]"
0_38_8,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[0],[38],"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
5_44_9,"[11, 16, 16, 16, 19, 19, 19, 19, 25, 36, 40, 40, 43, 51, 51, 69, 82, 85, 92, 102]",[5],[44],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[11, 16, 16, 16, 19, 19, 19, 19, 25, 36, 40, 40, 43, 51, 51, 69, 82, 85, 92, 102]","[11, 16, 16, 16, 19, 19, 19, 19, 25, 36, 40, 40, 43, 51, 51, 69, 82, 85, 92, 102]"
3_44_10,"[4, 16, 16, 17, 17, 17, 17, 24, 31, 31, 31, 31, 36, 44, 51, 51, 51, 51, 51, 51]",[3],[44],"[0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[4, 16, 16, 17, 17, 17, 17, 24, 31, 31, 31, 31, 36, 44, 51, 51, 51, 51, 51, 51]","[4, 16, 16, 17, 17, 17, 17, 24, 31, 31, 31, 31, 36, 44, 51, 51, 51, 51, 51, 51]"
6_66_11,"[3, 3, 3, 3, 3, 3, 3, 3, 16, 19, 21, 21, 21, 21, 23, 25, 29, 53, 58, 61]",[6],[66],"[0, 1, 2, 3, 4, 5, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[3, 3, 3, 3, 3, 3, 3, 3, 16, 19, 21, 21, 21, 21, 23, 25, 29, 53, 58, 61]","[3, 3, 3, 3, 3, 3, 3, 3, 16, 19, 21, 21, 21, 21, 23, 25, 29, 53, 58, 61]"
7_15_12,"[16, 57, 57, 57, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 80, 94, 94]",[7],[15],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[16, 57, 57, 57, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 80, 94, 94]","[16, 57, 57, 57, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 80, 94, 94]"
1_31_13,"[1, 4, 8, 8, 8, 22, 28, 40, 62, 74, 74, 74, 75, 75, 98, 98, 109, 109, 109, 109]",[1],[31],"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[1, 4, 8, 8, 8, 22, 28, 40, 62, 74, 74, 74, 75, 75, 98, 98, 109, 109, 109, 109]","[1, 4, 8, 8, 8, 22, 28, 40, 62, 74, 74, 74, 75, 75, 98, 98, 109, 109, 109, 109]"
8_45_14,"[67, 100, 144, 239, 466, 579, 585, 606, 653, 726, 726, 726, 726, 726, 726, 726, 726, 726, 726, 726]",[8],[45],"[1, 2, 6, 7, 11, 13, 14, 15, 18, 19, 21, 22, 23]","[67, 100, 144, 239, 466, 579, 585, 606, 653, 726, 726, 726, 726, 726, 726, 726, 726, 726, 726, 726]","[67, 100, 144, 239, 466, 579, 585, 606, 653, 726, 726, 726, 726, 726, 726, 726, 726, 726, 726, 726]"
9_34_15,"[31, 33, 57, 90, 105, 105, 105, 105, 115, 134, 148, 151, 151, 158, 170, 170, 170, 170, 170, 173]",[9],[34],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[31, 33, 57, 90, 105, 105, 105, 105, 115, 134, 148, 151, 151, 158, 170, 170, 170, 170, 170, 173]","[31, 33, 57, 90, 105, 105, 105, 105, 115, 134, 148, 151, 151, 158, 170, 170, 170, 170, 170, 173]"
7_35_16,"[13, 62, 62, 62, 62, 62, 79, 215, 233, 272, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361]",[7],[35],"[0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[13, 62, 62, 62, 62, 62, 79, 215, 233, 272, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361]","[13, 62, 62, 62, 62, 62, 79, 215, 233, 272, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361]"
10_5_17,"[14, 26, 26, 26, 26, 31, 53, 70, 104, 104, 104, 104, 104, 105, 170, 170, 172, 197, 228, 238]",[10],[5],"[0, 1, 2, 3, 4, 6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[14, 26, 26, 26, 26, 31, 53, 70, 104, 104, 104, 104, 104, 105, 170, 170, 172, 197, 228, 238]","[14, 26, 26, 26, 26, 31, 53, 70, 104, 104, 104, 104, 104, 105, 170, 170, 172, 197, 228, 238]"
0_33_18,"[158, 158, 158, 173, 173, 173, 328, 333, 366, 366, 381, 381, 381, 455, 455, 455, 455, 455, 455, 455]",[0],[33],"[0, 1, 2, 3, 4, 5, 8, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23]","[158, 158, 158, 173, 173, 173, 328, 333, 366, 366, 381, 381, 381, 455, 455, 455, 455, 455, 455, 455]","[158, 158, 158, 173, 173, 173, 328, 333, 366, 366, 381, 381, 381, 455, 455, 455, 455, 455, 455, 455]"
11_35_19,"[361, 361, 361, 361, 361, 361, 361, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503]",[11],[35],"[0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[361, 361, 361, 361, 361, 361, 361, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503]","[361, 361, 361, 361, 361, 361, 361, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503]"
3_44_20,"[1, 1, 19, 24, 29, 39, 39, 40, 45, 47, 47, 80, 80, 85, 92, 102, 102, 102, 102, 102]",[3],[44],"[0, 1, 2, 3, 4, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[1, 1, 19, 24, 29, 39, 39, 40, 45, 47, 47, 80, 80, 85, 92, 102, 102, 102, 102, 102]","[1, 1, 19, 24, 29, 39, 39, 40, 45, 47, 47, 80, 80, 85, 92, 102, 102, 102, 102, 102]"
12_58_21,"[5, 16, 18, 21, 23, 23, 26, 32, 57, 57, 57, 76, 103, 103, 113, 114, 120, 134, 143, 143]",[12],[58],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[5, 16, 18, 21, 23, 23, 26, 32, 57, 57, 57, 76, 103, 103, 113, 114, 120, 134, 143, 143]","[5, 16, 18, 21, 23, 23, 26, 32, 57, 57, 57, 76, 103, 103, 113, 114, 120, 134, 143, 143]"
13_45_22,"[21, 21, 21, 21, 21, 35, 40, 51, 64, 70, 70, 70, 79, 81, 81, 97, 116, 124, 124, 141]",[13],[45],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[21, 21, 21, 21, 21, 35, 40, 51, 64, 70, 70, 70, 79, 81, 81, 97, 116, 124, 124, 141]","[21, 21, 21, 21, 21, 35, 40, 51, 64, 70, 70, 70, 79, 81, 81, 97, 116, 124, 124, 141]"
