Pid,Uid,Catname,Region,Time,neighbors,forward_neighbors
0_57_0,"[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 6, 6, 12, 21]",[0],[57],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21]","[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 6, 6, 12, 21]","[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 6, 6, 12, 21]"
0_55_1,"[2, 2, 2, 2, 2, 6, 7, 9, 10, 11, 11, 11, 14, 14, 14, 14, 14, 14, 16, 20]",[0],[55],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20]","[2, 2, 2, 2, 2, 6, 7, 9, 10, 11, 11, 11, 14, 14, 14, 14, 14, 14, 16, 20]","[2, 2, 2, 2, 2, 6, 7, 9, 10, 11, 11, 11, 14, 14, 14, 14, 14, 14, 16, 20]"
0_65_2,"[3, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",[0],[65],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21]","[3, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[3, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
0_45_3,"[5, 5, 6, 6, 6, 6, 7, 7, 11, 11, 12, 13, 13, 14, 14, 14, 14, 14, 14, 14]",[0],[45],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21]","[5, 5, 6, 6, 6, 6, 7, 7, 11, 11, 12, 13, 13, 14, 14, 14, 14, 14, 14, 14]","[5, 5, 6, 6, 6, 6, 7, 7, 11, 11, 12, 13, 13, 14, 14, 14, 14, 14, 14, 14]"
0_46_4,"[0, 2, 2, 3, 3, 5, 7, 7, 7, 7, 18, 19, 21, 21, 21, 21, 21, 21, 21, 21]",[0],[46],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21]","[0, 2, 2, 3, 3, 5, 7, 7, 7, 7, 18, 19, 21, 21, 21, 21, 21, 21, 21, 21]","[0, 2, 2, 3, 3, 5, 7, 7, 7, 7, 18, 19, 21, 21, 21, 21, 21, 21, 21, 21]"
0_36_5,"[24, 35, 43, 46, 57, 62, 62, 62, 62, 62, 73, 75, 75, 79, 84, 96, 96, 118, 128, 128]",[0],[36],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22]","[24, 35, 43, 46, 57, 62, 62, 62, 62, 62, 73, 75, 75, 79, 84, 96, 96, 118, 128, 128]","[24, 35, 43, 46, 57, 62, 62, 62, 62, 62, 73, 75, 75, 79, 84, 96, 96, 118, 128, 128]"
0_57_6,"[0, 0, 9, 9, 13, 20, 20, 31, 31, 31, 31, 44, 49, 49, 49, 60, 60, 64, 64, 65]",[0],[57],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21]","[0, 0, 9, 9, 13, 20, 20, 31, 31, 31, 31, 44, 49, 49, 49, 60, 60, 64, 64, 65]","[0, 0, 9, 9, 13, 20, 20, 31, 31, 31, 31, 44, 49, 49, 49, 60, 60, 64, 64, 65]"
1_57_7,"[0, 12, 21, 21, 21, 21, 21, 21, 21, 26, 31, 34, 38, 45, 58, 63, 64, 74, 75, 77]",[1],[57],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 20]","[0, 12, 21, 21, 21, 21, 21, 21, 21, 26, 31, 34, 38, 45, 58, 63, 64, 74, 75, 77]","[0, 12, 21, 21, 21, 21, 21, 21, 21, 26, 31, 34, 38, 45, 58, 63, 64, 74, 75, 77]"
0_5_8,"[5, 5, 29, 33, 34, 37, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75]",[0],[5],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 20, 21, 22, 23]","[5, 5, 29, 33, 34, 37, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[5, 5, 29, 33, 34, 37, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75]"
0_46_9,"[8, 44, 64, 74, 75, 77, 84, 88, 104, 104, 105, 106, 106, 128, 149, 149, 149, 149, 160, 165]",[0],[46],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[8, 44, 64, 74, 75, 77, 84, 88, 104, 104, 105, 106, 106, 128, 149, 149, 149, 149, 160, 165]","[8, 44, 64, 74, 75, 77, 84, 88, 104, 104, 105, 106, 106, 128, 149, 149, 149, 149, 160, 165]"
0_36_10,"[18, 23, 24, 30, 62, 62, 62, 62, 62, 131, 131, 131, 131, 131, 132, 149, 149, 149, 226, 226]",[0],[36],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23]","[18, 23, 24, 30, 62, 62, 62, 62, 62, 131, 131, 131, 131, 131, 132, 149, 149, 149, 226, 226]","[18, 23, 24, 30, 62, 62, 62, 62, 62, 131, 131, 131, 131, 131, 132, 149, 149, 149, 226, 226]"
0_75_11,"[20, 27, 27, 27, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 92, 126]",[0],[75],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 20, 21, 22, 23]","[20, 27, 27, 27, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 92, 126]","[20, 27, 27, 27, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 92, 126]"
0_52_12,"[50, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114]",[0],[52],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22]","[50, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114]","[50, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114, 114]"
